Sub-SN,Part Number,Station1 Measurement,Station2 Measurement,Station3 Measurement,Station4 Measurement,Station5 Measurement,Station6 Measurement,Station7 Measurement,Station8 Measurement,Station9 Measurement,Station10 Measurement
SBN00000729,PCB0003,10.445,10.336,9.571,9.829,10.802,10.404,9.417,9.729,10.723,10.976
SBN00000730,PCB0002,9.634,10.146,10.742,10.539,10.336,9.655,9.774,10.527,9.943,10.05
SBN00000731,PCB0003,10.358,10.17,9.671,9.885,9.551,10.202,10.433,9.439,10.671,10.156
SBN00000732,PCB0003,9.812,9.717,10.626,9.636,9.684,9.531,9.311,9.221,8.975,9.933
SBN00000733,PCB0001,9.635,10.319,10.353,10.84,10.528,9.131,10.901,10.75,9.293,8.821
SBN00000734,PCB0003,9.532,10.674,10.039,9.596,10.423,9.347,9.758,9.661,11.168,10.594
SBN00000735,PCB0002,10.661,10.646,11.006,10.208,10.76,9.661,10.244,10.137,10.1,10.42
SBN00000736,PCB0002,10.241,10.016,9.945,9.244,9.99,10.443,10.506,10.583,10.171,10.095
SBN00000737,PCB0003,10.052,9.809,9.84,9.512,10.094,9.312,10.302,10.169,9.423,9.856
SBN00000738,PCB0002,10.299,10.17,9.85,9.159,9.666,10.365,9.79,9.793,10.151,10.256
SBN00000739,PCB0003,9.727,9.809,10.314,8.968,9.72,9.428,10.307,9.734,9.958,9.889
SBN00000740,PCB0002,9.554,10.043,10.178,9.974,9.683,9.619,9.884,10.629,9.958,9.534
SBN00000741,PCB0003,10.105,9.985,9.818,9.123,9.316,10.591,10.2,10.015,10.926,9.87
SBN00000742,PCB0003,9.748,9.402,9.684,10.245,9.372,10.159,9.308,10.07,9.524,10.577
SBN00000743,PCB0001,10.339,9.595,10.698,8.724,9.809,9.821,9.985,9.925,8.791,9.872
SBN00000744,PCB0002,9.787,9.964,9.948,9.933,9.385,10.359,9.573,9.801,10.252,9.155
SBN00000745,PCB0003,10.693,9.993,9.771,9.578,9.269,10.097,9.434,9.486,10.351,9.762
SBN00000746,PCB0001,9.737,9.83,9.282,9.973,10.115,10.954,10.067,9.953,10.655,10.092
SBN00000747,PCB0003,9.407,10.34,10.365,10.115,10.644,9.718,11.188,9.121,10.2,11.085
SBN00000748,PCB0002,9.984,9.737,9.628,9.786,9.994,9.665,9.64,10.503,9.67,9.633
SBN00000749,PCB0002,9.762,10.605,10.031,10.648,9.933,10.362,9.454,9.914,10.524,9.967
SBN00000750,PCB0001,9.395,9.865,10.469,10.595,10.62,9.276,10.428,10.014,10.058,9.893
SBN00000751,PCB0002,10.336,10.211,9.845,10.541,10.334,9.25,8.994,10.099,10.321,10.686
SBN00000752,PCB0002,9.916,10.149,11.511,14.297,10.495,10.498,10.149,10.042,9.909,9.493
SBN00000753,PCB0003,9.666,10.5,10.716,10.435,10.001,10.876,10.115,10.661,10.562,10.132
SBN00000754,PCB0001,9.576,10.05,9.189,9.623,10.195,10.545,9.394,10.03,9.642,9.205
SBN00000755,PCB0002,9.52,9.414,10.984,9.781,10.241,9.535,9.21,9.907,9.905,10.265
SBN00000756,PCB0002,9.985,10.468,8.9,14.749,10.336,10.051,10.077,9.905,9.996,9.625
SBN00000757,PCB0003,10.973,9.597,9.249,10.218,9.448,10.535,9.973,9.651,9.771,9.364
SBN00000758,PCB0003,10.126,10.25,10.128,9.748,9.919,10.799,10.774,10.113,10.699,10.324
SBN00000759,PCB0002,9.382,9.42,9.931,9.655,10.066,9.932,9.885,10.083,9.773,9.736
SBN00000760,PCB0002,9.836,10.257,9.786,10.59,9.835,9.683,9.928,10.606,9.831,10.145
SBN00000761,PCB0003,10.205,10.398,9.736,9.956,9.334,10.638,9.652,9.835,10.299,10.533
SBN00000762,PCB0003,10.15,10.25,9.245,9.259,9.981,10.598,11.066,10.737,10.158,10.202
SBN00000763,PCB0002,10.696,9.863,11.246,10.017,10.34,10.062,11.013,9.613,10.186,10.315
SBN00000764,PCB0003,9.709,9.704,10.106,9.538,10.171,11.245,10.014,9.548,10.667,9.339
SBN00000765,PCB0001,9.635,9.527,8.532,10.467,10.339,9.713,10.707,9.668,9.817,10.188
SBN00000766,PCB0003,10.148,10.694,9.662,10.449,9.593,9.765,10.479,10.352,10.121,9.804
SBN00000767,PCB0002,10.108,10.418,9.708,9.155,10.191,10.423,10.408,10.334,10.299,9.804
SBN00000768,PCB0003,8.634,9.466,9.846,9.654,9.478,9.782,10.032,10.029,9.55,9.958
SBN00000769,PCB0002,9.651,10.257,10.435,15.008,9.882,10.7,10.59,9.843,9.721,9.86
SBN00000770,PCB0003,9.981,9.277,10.496,15.37,10.199,10.819,9.767,9.747,10.859,10.632
SBN00000771,PCB0001,9.822,9.874,10.558,8.977,10.443,10.241,9.513,11.304,9.36,9.938
SBN00000772,PCB0001,10.962,9.795,9.65,10.241,10.252,9.244,10.702,9.903,10.604,9.905
SBN00000773,PCB0002,9.318,10.583,10.071,11.163,8.867,9.946,9.403,10.068,10.601,10.242
SBN00000774,PCB0003,9.742,10.179,10.57,9.853,10.279,10.149,10.372,9.666,10.69,8.503
SBN00000775,PCB0002,9.945,9.769,9.891,15.379,10.606,9.226,9.911,9.376,10.632,9.599
SBN00000776,PCB0003,10.189,9.413,9.739,9.42,10.711,9.125,9.451,9.397,10.598,9.337
SBN00000777,PCB0001,9.95,10.203,9.983,10.217,10.041,10.453,9.038,9.279,10.28,9.885
SBN00000778,PCB0003,9.025,10.182,9.75,10.443,9.581,10.296,9.728,9.995,10.011,10.367
SBN00000779,PCB0002,9.951,10.516,10.304,10.412,10.198,10.4,9.713,10.26,9.604,10.068
SBN00000780,PCB0002,10.271,10.536,9.862,10.868,9.992,9.961,9.793,10.189,10.612,10.423
SBN00000781,PCB0002,9.73,8.947,10.116,10.943,8.957,10.039,9.865,9.862,9.485,8.963
SBN00000782,PCB0001,9.997,10.367,10.922,9.477,9.344,10.056,9.233,9.795,9.508,10.477
SBN00000783,PCB0001,10.25,10.028,10.197,10.38,9.797,9.313,9.612,9.146,9.206,9.851
SBN00000784,PCB0001,10.549,10.118,10.254,14.439,9.702,9.493,9.557,9.902,9.784,9.364
SBN00000785,PCB0003,10.497,10.433,10.78,9.692,10.196,10.901,9.483,9.668,9.392,9.632
SBN00000786,PCB0002,10.018,10.189,10.761,9.695,9.718,9.33,9.305,10.027,9.348,9.13
SBN00000787,PCB0002,10.651,10.39,10.313,10.292,9.821,9.814,10.46,8.918,9.697,10.277
SBN00000788,PCB0003,10.395,9.998,9.753,8.987,9.634,9.656,10.13,10.276,10.487,9.64
SBN00000789,PCB0003,9.178,10.567,9.457,9.873,9.918,10.566,10.413,9.752,10.147,10.747
SBN00000790,PCB0001,10.045,9.97,10.688,8.954,9.836,9.672,9.527,10.511,10.094,9.391
SBN00000791,PCB0002,10.844,9.739,10.37,9.293,10.369,9.956,10.062,9.92,9.172,10.285
SBN00000792,PCB0002,9.467,9.926,10.723,10.391,8.887,9.87,10.227,10.46,10.189,10.101
SBN00000793,PCB0003,9.827,10.385,9.199,9.753,10.031,9.38,9.962,10.332,10.332,9.972
SBN00000794,PCB0001,10.301,9.181,9.81,10.602,10.937,10.395,10.171,10.703,10.505,10.539
SBN00000795,PCB0003,10.281,9.607,9.976,10.746,10.327,9.669,10.007,9.13,9.882,10.234
SBN00000796,PCB0002,10.493,9.352,10.042,9.653,9.752,9.8,9.785,9.497,9.698,10.039
SBN00000797,PCB0001,9.978,10.463,9.46,10.032,11.333,9.888,10.553,9.937,10.321,10.277
SBN00000798,PCB0003,10.887,9.371,10.798,10.023,10.091,9.891,9.771,9.752,9.243,10.194
SBN00000799,PCB0002,9.606,10.353,10.515,14.449,10.243,9.9,9.619,10.309,9.796,9.911
SBN00000800,PCB0002,9.988,10.31,9.824,9.799,10.687,9.762,9.961,10.518,10.215,9.47
SBN00000801,PCB0002,9.913,10.34,9.275,9.94,9.588,9.688,10.222,10.681,10.579,10.914
SBN00000802,PCB0003,10.3,9.926,11.106,9.846,9.026,10.527,10.233,9.461,10.404,10.457
SBN00000803,PCB0001,10.774,9.407,10.115,9.498,9.618,8.951,9.357,10.067,10.341,9.805
SBN00000804,PCB0003,10.215,9.865,8.961,15.059,9.678,10.825,9.47,9.676,10.413,10.283
SBN00000805,PCB0001,10.847,10.426,11.37,9.832,10.523,10.92,9.436,8.941,10.108,9.46
SBN00000806,PCB0001,9.64,10.035,9.574,9.358,10.531,9.769,10.19,9.716,10.447,9.608
SBN00000807,PCB0003,10.027,10.519,10.243,9.556,10.244,8.933,9.9,11.281,8.537,10.259
SBN00000808,PCB0003,10.648,9.583,9.648,9.848,10.042,9.832,9.807,9.966,10.641,9.304
SBN00000809,PCB0003,10.081,9.958,10.647,10.004,10.367,9.073,9.985,9.646,10.454,9.71
SBN00000810,PCB0003,10.34,10.133,9.925,10.071,10.484,10.721,9.672,10.788,8.886,10.165
SBN00000811,PCB0002,10.378,9.454,10.769,9.963,9.434,10.763,9.929,10.054,9.942,10.733
SBN00000812,PCB0002,11.167,10.307,9.738,10.874,10.425,9.629,10.493,10.837,9.568,9.499
SBN00000813,PCB0001,9.786,9.431,10.557,9.359,9.925,9.516,10.437,9.568,9.684,10.06
SBN00000814,PCB0002,10.295,10.139,10.104,9.843,9.537,10.299,10.396,10.558,9.832,9.463
SBN00000815,PCB0001,10.366,9.981,9.949,14.773,10.393,10.283,9.232,9.416,9.263,9.925
SBN00000816,PCB0001,9.89,10.634,9.786,9.571,10.359,10.406,9.579,10.08,9.589,10.221
SBN00000817,PCB0001,9.618,9.15,11.029,9.745,9.557,9.984,9.191,10.78,10.367,10.534
SBN00000818,PCB0003,10.097,10.181,10.366,9.845,10.152,10.461,10.256,9.386,10.183,9.944
SBN00000819,PCB0001,9.233,10.487,9.977,10.026,10.758,10.349,10.302,11.003,10.012,9.086
SBN00000820,PCB0003,10.623,10.012,9.922,9.797,10.309,9.64,9.784,9.382,9.93,10.639
SBN00000821,PCB0001,10.277,9.984,9.763,9.511,10.815,10.248,10.817,9.473,9.872,9.845
SBN00000822,PCB0003,9.577,9.712,11.129,9.618,10.257,9.136,10.577,10.312,10.69,9.825
SBN00000823,PCB0003,9.992,10.138,9.676,15.263,9.284,10.19,9.429,10.356,9.554,10.516
SBN00000824,PCB0001,9.66,11.155,9.714,10.133,10.449,10.499,10.928,10.579,9.916,9.85
SBN00000825,PCB0002,10.254,10.13,10.359,9.853,10.085,10.474,10.816,10.152,9.767,9.981
SBN00000826,PCB0001,9.805,10.137,9.982,9.932,10.252,9.918,10.558,10.554,9.68,9.135
SBN00000827,PCB0002,11.112,9.658,9.774,10.576,9.99,10.383,10.034,9.54,10.334,10.432
SBN00000828,PCB0001,10.228,9.985,10.277,10.929,9.335,9.841,10.06,10.701,10.378,10.122
SBN00000829,PCB0003,10.061,9.958,9.827,9.42,9.648,10.081,9.858,9.565,10.072,10.793
SBN00000830,PCB0002,10.586,9.571,10.236,10.635,10.634,9.883,10.883,10.646,9.404,10.439
SBN00000831,PCB0001,10.574,9.45,9.603,9.433,10.466,10.805,10.222,10.018,9.43,10.574
SBN00000832,PCB0003,10.179,10.305,10.584,10.354,9.76,9.939,10.48,9.882,10.523,10.954
SBN00000833,PCB0003,10.105,9.412,9.565,10.091,9.865,10.286,10.205,9.715,10.308,9.695
SBN00000834,PCB0001,9.784,9.293,10.044,14.735,9.993,9.926,10.385,9.592,10.138,9.922
SBN00000835,PCB0001,10.182,10.414,9.578,9.942,9.699,9.694,9.908,10.276,9.912,9.139
SBN00000836,PCB0003,8.82,10.051,9.306,10.052,9.171,9.373,9.907,9.583,10.325,9.642
SBN00000837,PCB0001,10.187,9.654,10.051,10.863,10.293,9.361,10.552,10.636,10.03,10.299
SBN00000838,PCB0001,10.968,10.253,10.498,9.111,10.088,9.797,10.511,9.483,9.925,9.852
SBN00000839,PCB0001,10.408,10.179,9.686,9.331,9.569,9.922,9.978,9.384,9.751,10.277
SBN00000840,PCB0001,10.271,9.478,10.153,10.34,10.086,10.247,10.625,10.573,10.617,10.454
SBN00000841,PCB0003,10.829,9.512,9.93,9.978,10.115,10.318,10.59,10.189,10.028,10.067
SBN00000842,PCB0001,9.709,10.532,9.452,15.211,9.55,9.551,10.35,10.886,9.703,10.459
SBN00000843,PCB0001,9.63,10.363,9.863,10.578,9.695,10.868,10.184,10.337,10.5,11.037
SBN00000844,PCB0001,9.747,10.441,10.142,10.716,9.386,9.798,10.227,10.307,10.749,10.402
SBN00000845,PCB0001,10.246,9.446,9.639,10.619,9.865,10.447,9.567,10.635,9.569,9.765
SBN00000846,PCB0002,10.719,9.876,10.057,10.652,9.807,9.596,10.467,9.716,9.462,9.427
SBN00000847,PCB0003,9.838,10.158,9.811,10.507,9.663,10.714,9.801,9.568,9.764,10.711
SBN00000848,PCB0002,9.864,10.483,10.101,9.914,10.755,9.557,9.465,10.517,10.188,10.276
SBN00000849,PCB0003,10.72,9.749,10.193,9.731,9.632,10.115,9.813,10.085,11.321,9.907
SBN00000850,PCB0003,9.911,10.299,10.306,10.451,9.479,10.014,10.272,10.368,9.479,10.506
SBN00000851,PCB0001,9.955,10.047,8.956,10.149,10.037,9.665,10.487,9.936,9.151,11.061
SBN00000852,PCB0001,9.583,9.772,9.823,9.97,10.653,10.25,10.273,10.017,9.302,11.304
SBN00000853,PCB0003,10.162,10.058,10.377,9.825,10.056,10.009,10.292,9.816,10.467,10.156
SBN00000854,PCB0001,9.061,10.03,10.016,10.526,10.843,9.999,9.519,9.567,10.054,9.395
SBN00000855,PCB0003,10.033,10.645,10.159,15.09,10.366,9.451,10.206,9.86,10.633,8.958
SBN00000856,PCB0002,10.005,9.641,9.798,9.312,9.309,10.671,9.934,9.958,9.851,9.973
SBN00000857,PCB0001,10.107,10.657,10.215,9.869,9.963,10.09,9.369,8.683,10.113,9.786
SBN00000858,PCB0001,9.575,10.055,10.2,10.406,10.153,9.95,9.855,10.1,10.22,10.461
SBN00000859,PCB0003,9.42,10.677,10.147,9.751,9.235,10.156,10.166,9.602,10.218,9.869
SBN00000860,PCB0001,10.206,9.434,10.436,10.013,9.366,9.793,9.36,9.543,10.82,9.495
SBN00000861,PCB0003,10.504,9.987,10.268,10.248,9.864,10.092,9.984,9.666,9.874,10.534
SBN00000862,PCB0003,9.827,9.492,11.474,10.288,9.593,10.074,10.183,10.33,10.062,9.59
SBN00000863,PCB0003,9.824,11.02,9.125,10.946,9.368,9.495,9.651,9.625,9.884,10.191
SBN00000864,PCB0003,10.178,9.677,10.332,15.532,9.632,10.935,10.003,10.474,9.046,10.455
SBN00000865,PCB0003,10.51,10.014,10.533,10.289,9.766,10.11,9.775,10.172,10.061,10.436
SBN00000866,PCB0001,10.041,10.754,10.363,9.924,9.794,9.784,10.437,9.643,9.503,10.101
SBN00000867,PCB0001,10.644,9.497,9.523,10.12,10.414,10.106,9.772,9.656,10.636,9.684
SBN00000868,PCB0001,9.47,10.324,10.52,10.222,10.359,9.364,10.177,9.919,11.091,9.98
SBN00000869,PCB0002,10.259,10.418,10.096,9.004,9.638,10.106,10.328,9.97,9.501,9.834
SBN00000870,PCB0001,10.738,10.747,10.162,9.996,9.568,9.305,10.563,10.217,9.549,9.791
SBN00000871,PCB0002,9.415,9.991,10.262,10.431,9.311,10.646,10.275,9.608,10.15,9.999
SBN00000872,PCB0002,9.927,9.889,9.523,9.975,9.542,9.69,10.57,10.028,9.685,9.307
SBN00000873,PCB0001,9.921,10.682,9.968,9.788,9.818,9.463,9.493,8.687,10.147,10.531
SBN00000874,PCB0002,10.798,10.563,9.953,10.107,10.208,9.355,9.454,10.446,10.026,9.723
SBN00000875,PCB0003,10.473,9.357,10.035,9.271,9.856,9.564,10.035,11.293,9.935,10.346
SBN00000876,PCB0001,10.23,10.294,9.852,9.643,9.022,9.506,10.307,9.683,9.626,9.334
SBN00000877,PCB0002,9.859,9.63,10.517,10.31,9.455,11.043,10.163,10.026,9.589,9.865
SBN00000878,PCB0001,9.77,10.158,10.654,10.145,9.512,9.699,10.363,10.548,10.025,10.133
SBN00000879,PCB0003,9.73,10.483,10.93,8.818,10.34,10.446,10.024,9.605,10.189,9.996
SBN00000880,PCB0001,9.562,9.993,10.656,9.276,9.709,10.665,10.036,10.154,10.644,9.485
SBN00000881,PCB0002,9.601,10.806,9.361,10.293,9.857,9.39,10.167,10.448,10.014,9.76
SBN00000882,PCB0003,9.851,10.308,9.354,10.414,9.636,10.286,9.643,9.858,9.528,9.457
SBN00000883,PCB0002,10.317,10.389,10.252,9.276,10.845,10.163,9.53,10.744,9.178,9.316
SBN00000884,PCB0002,10.194,8.982,10.37,9.637,10.008,10.004,10.526,9.227,10.422,10.048
SBN00000885,PCB0001,10.656,9.877,10.378,9.419,9.836,10.525,9.708,9.087,10.366,8.902
SBN00000886,PCB0003,9.46,9.974,10.949,10.314,10.464,10.999,10.331,10.368,10.216,9.793
SBN00000887,PCB0001,9.421,9.719,9.77,9.97,10.667,10.352,10.164,10.066,8.965,9.457
SBN00000888,PCB0002,9.957,10.056,9.265,10.726,10.956,9.9,10.007,10.288,10.004,9.543
SBN00000889,PCB0002,9.199,10.062,9.773,9.606,9.781,9.629,9.798,10.039,9.936,10.135
SBN00000890,PCB0001,9.382,9.945,10.221,10.816,9.645,10.06,10.973,10.084,10.25,11.013
SBN00000891,PCB0002,10.393,10.056,10.206,10.191,10.736,10.19,10.861,10.475,9.832,9.363
SBN00000892,PCB0002,9.766,9.847,9.676,10.39,9.744,9.561,9.565,10.327,10.197,10.073
SBN00000893,PCB0002,10.988,10.246,11.11,10.275,9.623,9.313,9.254,9.981,10.142,10.49
SBN00000894,PCB0001,9.611,10.398,9.796,10.718,9.328,9.393,9.831,10.457,9.877,9.687
SBN00000895,PCB0001,9.178,9.811,9.605,9.418,10.364,9.761,9.525,10.328,9.288,9.941
SBN00000896,PCB0001,10.798,9.692,10.327,9.806,10.552,9.456,9.023,9.933,10.454,9.545
SBN00000897,PCB0003,10.071,9.348,8.974,10.238,10.457,9.057,9.973,9.298,10.144,10.321
SBN00000898,PCB0003,9.839,9.709,9.153,10.053,10.615,9.295,9.92,9.898,9.377,9.471
SBN00000899,PCB0001,10.519,10.067,9.97,9.529,10.238,10.146,9.052,9.477,10.518,9.884
SBN00000900,PCB0001,9.734,9.644,10.061,15.867,9.602,10.542,8.996,10.472,9.053,9.107
SBN00000901,PCB0002,9.549,10.0,10.335,9.904,10.567,10.444,9.903,10.499,10.704,10.237
SBN00000902,PCB0001,10.169,10.477,10.555,9.316,10.561,10.93,9.535,9.498,10.724,10.057
SBN00000903,PCB0002,9.764,9.961,9.642,9.148,9.822,10.253,9.767,10.194,10.07,9.669
SBN00000904,PCB0003,8.517,10.523,9.873,10.045,9.95,10.0,9.897,11.325,8.75,9.772
SBN00000905,PCB0002,10.043,9.325,9.526,9.88,10.219,10.832,9.625,10.92,10.087,9.55
SBN00000906,PCB0003,9.866,9.847,10.57,9.581,9.85,9.023,10.141,10.163,9.905,10.449
SBN00000907,PCB0002,10.112,10.213,10.468,10.804,9.191,10.094,10.533,10.673,10.552,9.69
SBN00000908,PCB0001,10.379,9.884,8.869,10.102,10.275,10.026,10.61,9.922,10.225,10.31
SBN00000909,PCB0002,9.91,11.225,10.704,10.414,10.618,9.004,10.26,10.746,9.615,10.073
SBN00000910,PCB0002,10.652,10.041,9.912,10.124,9.945,9.678,10.32,9.468,9.824,10.43
SBN00000911,PCB0003,10.168,10.161,9.824,9.002,9.748,9.431,10.189,9.776,10.447,9.372
SBN00000912,PCB0001,9.846,9.406,10.121,8.852,10.185,9.762,10.197,9.865,10.303,10.074
SBN00000913,PCB0001,10.078,9.892,10.828,9.745,10.415,9.852,10.814,9.078,9.932,10.1
SBN00000914,PCB0002,10.001,9.741,10.113,14.457,9.927,10.155,10.075,10.46,9.735,10.614
SBN00000915,PCB0003,10.758,10.29,9.038,10.402,9.543,10.085,10.303,9.268,9.434,10.745
SBN00000916,PCB0001,10.023,9.211,10.409,10.77,10.303,9.991,10.009,10.646,9.662,9.777
SBN00000917,PCB0002,10.197,9.254,9.075,10.356,9.35,9.283,10.248,9.399,9.906,10.159
SBN00000918,PCB0001,10.999,10.122,10.296,9.607,10.539,10.265,9.205,10.065,10.224,9.79
SBN00000919,PCB0003,10.409,9.79,10.115,10.205,10.264,10.712,10.375,9.943,10.338,10.154
SBN00000920,PCB0002,10.307,10.412,10.355,9.928,9.695,10.203,9.58,9.906,9.257,8.603
SBN00000921,PCB0003,10.096,10.253,9.683,9.752,9.815,10.098,10.037,9.668,9.994,10.005
SBN00000922,PCB0002,10.385,10.279,10.948,9.771,10.214,10.65,9.471,10.424,10.429,10.397
SBN00000923,PCB0003,10.514,11.054,9.534,14.768,9.583,10.01,10.514,9.809,9.779,9.418
SBN00000924,PCB0002,10.349,9.849,10.195,10.774,9.73,8.898,10.287,10.274,9.754,10.271
SBN00000925,PCB0003,10.269,9.445,9.867,14.212,10.27,9.715,9.934,10.728,10.035,9.969
SBN00000926,PCB0001,11.013,9.58,9.915,9.685,10.394,10.506,9.43,10.248,10.294,10.209
SBN00000927,PCB0003,9.67,10.244,10.398,9.442,9.505,9.88,9.592,10.219,9.892,11.161
SBN00000928,PCB0002,9.005,10.084,9.754,10.706,10.216,10.102,9.421,9.206,9.753,10.314
SBN00000929,PCB0003,10.614,10.951,9.701,9.998,10.044,10.33,10.022,10.097,9.934,9.137
SBN00000930,PCB0002,9.763,9.84,10.014,10.358,10.141,9.103,9.286,9.294,9.661,9.847
SBN00000931,PCB0002,9.841,9.82,9.853,14.973,10.232,10.432,10.115,9.916,8.898,9.958
SBN00000932,PCB0001,9.928,10.683,10.118,9.827,10.854,9.859,9.337,9.523,10.223,9.222
SBN00000933,PCB0002,9.921,9.74,10.12,10.228,10.503,10.04,9.265,10.647,9.804,9.728
SBN00000934,PCB0001,9.947,10.504,10.481,10.808,10.56,9.685,11.91,9.348,9.976,8.994
SBN00000935,PCB0001,10.189,9.602,9.328,9.948,9.709,9.575,9.852,10.476,10.136,10.52
SBN00000936,PCB0001,9.777,9.689,9.657,10.305,11.068,9.461,9.792,10.93,10.068,9.795
SBN00000937,PCB0002,9.747,10.158,10.004,9.542,10.148,10.059,10.692,8.911,10.303,10.281
SBN00000938,PCB0002,9.777,9.803,10.214,10.852,9.879,9.984,10.721,10.189,10.105,9.969
SBN00000939,PCB0001,9.914,10.088,9.62,10.098,10.235,10.346,10.508,10.301,10.276,9.699
SBN00000940,PCB0001,9.911,9.624,9.902,9.658,10.407,9.941,9.744,10.049,9.503,9.461
SBN00000941,PCB0001,9.75,10.478,9.968,10.607,10.563,9.204,10.125,10.637,9.031,9.989
SBN00000942,PCB0003,10.423,9.728,9.806,10.039,9.697,10.556,9.921,9.955,9.865,8.656
SBN00000943,PCB0003,9.627,10.551,9.841,15.225,10.399,9.915,10.282,9.96,9.972,10.179
SBN00000944,PCB0002,9.688,10.75,9.789,10.001,10.247,9.015,10.495,9.267,10.921,10.105
SBN00000945,PCB0002,10.065,9.451,10.286,9.622,10.104,9.544,9.639,9.605,9.816,10.347
SBN00000946,PCB0001,9.872,9.538,9.988,15.496,10.028,10.185,10.171,9.976,9.434,9.771
SBN00000947,PCB0003,10.735,9.906,10.108,10.572,10.128,9.958,10.016,10.389,10.081,9.313
SBN00000948,PCB0001,9.461,10.256,10.378,9.846,10.669,10.146,10.718,10.0,9.339,10.097
SBN00000949,PCB0002,10.21,9.844,9.296,10.353,9.668,8.803,10.671,10.213,9.618,9.1
SBN00000950,PCB0003,9.858,9.955,10.24,9.643,10.282,9.022,9.885,9.571,10.726,9.533
SBN00000951,PCB0001,10.729,10.009,10.085,10.177,10.824,10.247,9.386,9.41,10.538,10.227
SBN00000952,PCB0003,9.496,10.25,9.363,11.182,9.728,10.665,9.27,10.064,9.385,10.281
SBN00000953,PCB0001,9.801,10.064,10.654,10.922,10.307,9.649,9.697,10.29,9.758,10.753
SBN00000954,PCB0001,10.129,10.165,9.513,10.004,10.593,10.962,10.239,9.99,10.235,10.53
SBN00000955,PCB0003,9.343,10.201,10.306,10.059,8.878,9.445,10.115,9.831,10.394,9.984
SBN00000956,PCB0003,9.94,10.478,9.063,9.516,9.844,8.922,10.587,9.266,10.804,9.805
SBN00000957,PCB0002,9.856,9.478,8.504,9.792,9.997,10.993,9.181,10.156,9.7,9.298
SBN00000958,PCB0001,9.608,9.913,9.999,10.395,8.799,9.545,9.94,10.113,9.982,10.27
SBN00000959,PCB0001,9.905,9.443,10.579,15.061,10.435,10.137,9.422,9.325,10.232,9.764
SBN00000960,PCB0003,9.459,9.899,10.034,14.548,9.811,10.017,9.482,10.351,9.633,10.76
SBN00000961,PCB0001,9.485,10.291,10.549,10.388,9.628,10.589,10.553,10.167,9.678,9.958
SBN00000962,PCB0001,11.048,9.688,10.336,10.212,9.507,9.825,9.496,9.886,10.171,9.482
SBN00000963,PCB0002,10.048,11.121,9.921,10.203,10.482,10.954,9.981,10.901,10.139,9.461
SBN00000964,PCB0002,9.954,10.087,10.086,9.73,9.142,9.846,10.282,11.296,10.321,9.748
SBN00000965,PCB0003,9.749,9.629,9.024,10.793,10.728,9.896,10.887,10.776,11.25,10.091
SBN00000966,PCB0003,9.503,10.351,9.696,9.614,10.58,10.07,9.268,11.131,9.218,9.46
SBN00000967,PCB0002,10.283,9.77,9.967,10.172,9.627,9.391,10.023,10.053,9.698,9.958
SBN00000968,PCB0002,10.227,10.358,10.382,10.153,9.608,10.169,10.243,8.524,11.018,9.349
SBN00000969,PCB0002,9.586,10.613,9.479,9.839,10.533,9.346,9.741,10.534,10.55,10.361
SBN00000970,PCB0003,9.845,10.273,9.881,10.231,9.702,10.001,10.919,9.844,10.837,9.077
SBN00000971,PCB0002,9.288,10.213,9.422,10.652,10.104,9.501,10.595,10.34,10.019,9.811
SBN00000972,PCB0002,9.862,9.665,10.057,9.95,9.272,9.184,10.473,10.171,9.594,9.467
SBN00000973,PCB0002,9.472,10.317,10.356,9.299,10.095,10.119,10.392,9.715,10.668,9.449
SBN00000974,PCB0002,9.109,9.971,10.715,10.18,9.883,9.32,9.957,10.99,9.883,10.563
SBN00000975,PCB0003,9.663,10.635,10.315,9.383,10.219,9.703,10.387,9.923,9.72,10.188
SBN00000976,PCB0002,10.49,9.955,10.111,9.935,10.326,9.847,10.641,8.922,10.219,9.427
SBN00000977,PCB0002,9.721,10.278,9.743,9.399,9.666,9.554,10.034,9.608,10.037,10.082
SBN00000978,PCB0002,9.95,10.419,10.414,10.547,8.954,9.68,9.654,9.789,10.306,9.531
SBN00000979,PCB0001,10.418,9.984,10.368,9.797,9.352,9.021,10.317,11.063,9.274,10.277
SBN00000980,PCB0002,10.314,9.538,9.818,10.082,10.064,9.58,9.402,9.744,10.496,9.381
SBN00000981,PCB0003,9.216,9.503,10.001,9.286,10.453,10.45,10.127,10.332,9.258,10.526
SBN00000982,PCB0003,10.832,9.506,9.465,9.67,9.319,9.32,11.015,10.171,10.671,9.924
SBN00000983,PCB0003,9.708,10.082,9.445,9.279,9.722,9.933,10.136,9.764,9.256,9.879
SBN00000984,PCB0001,10.74,9.758,9.979,15.606,9.895,10.615,10.017,9.582,10.275,9.879
SBN00000985,PCB0002,9.707,10.491,9.956,10.149,9.528,8.762,10.029,9.889,9.641,10.248
SBN00000986,PCB0001,9.498,10.297,10.447,10.284,10.917,10.558,11.318,10.922,9.418,9.733
SBN00000987,PCB0003,10.813,10.414,10.029,10.06,9.892,9.276,10.338,9.323,10.075,10.393
SBN00000988,PCB0002,9.592,9.481,10.325,9.676,9.099,10.753,9.677,9.194,9.642,10.702
SBN00000989,PCB0002,10.183,10.243,10.268,9.518,10.744,9.271,10.058,9.345,9.646,10.159
SBN00000990,PCB0003,10.401,9.936,10.202,15.846,10.963,9.773,9.722,11.298,9.483,9.576
